,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,t_download_s_-2,quality_level_chosen_-2,bandwidth_mbit_-2,t_download_s_-3,quality_level_chosen_-3,bandwidth_mbit_-3,t_download_s_-4,quality_level_chosen_-4,bandwidth_mbit_-4,t_download_s_-5,quality_level_chosen_-5,bandwidth_mbit_-5,t_download_s_-6,quality_level_chosen_-6,bandwidth_mbit_-6,t_download_s_-7,quality_level_chosen_-7,bandwidth_mbit_-7,t_download_s_-8,quality_level_chosen_-8,bandwidth_mbit_-8,t_download_s_-9,quality_level_chosen_-9,bandwidth_mbit_-9,t_download_s_-10,quality_level_chosen_-10,bandwidth_mbit_-10,bitrate_level_encoded
30,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-21.m4s,1572061098.575,1572061101.2470002,20,2.496,1713929,5.493362179487178,0,0,6.083333333333329,121.54,127.62,3,1260000.0,89.01291027777776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
31,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-22.m4s,1572061104.584,1572061107.2540002,21,2.472,1697364,5.493087378640777,0,0,6.083333333333344,127.62,133.7,3,1260000.0,89.3232884027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
32,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-23.m4s,1572061110.833,1572061113.563,22,2.54,1743582,5.491596850393701,0,0,6.0833333333333135,133.71,139.79,3,1260000.0,90.9278704861112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
33,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-24.m4s,1572061116.832,1572061118.293,23,1.255,862304,5.496758565737051,0,0,6.083333333333344,139.79,145.87,3,1260000.0,93.41020131944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
34,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-25.m4s,1572061122.827,1572061124.1620002,24,1.16,797474,5.499820689655173,0,0,6.083333333333344,145.88,151.96,3,1260000.0,92.24069069444442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
35,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-26.m4s,1572061129.086,1572061130.4429998,25,1.148,789392,5.500989547038327,0,0,6.0833333333333135,151.96,158.04,3,1260000.0,92.52062555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
36,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-27.m4s,1572061135.08,1572061136.57,26,1.314,903562,5.501138508371385,0,0,6.083333333333344,158.04,164.12,3,1260000.0,93.1769155555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
37,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-28.m4s,1572061141.08,1572061142.5549998,27,1.3030000000000002,894829,5.493961627014582,0,0,6.083333333333344,164.12,170.2,3,1260000.0,92.83602618055558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
38,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-29.m4s,1572061147.333,1572061149.0449998,28,1.516,1041394,5.495482849604222,0,0,6.0833333333333135,170.21,176.29,3,1260000.0,93.22549145833332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
39,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935286/chop/segment-30.m4s,1572061153.331,1572061154.8630002,29,1.352,929031,5.497224852071005,0,0,6.083333333333344,176.29,182.37,3,1260000.0,92.40873666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260000.0
